what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965083706
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965086947
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965087753
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292965087767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292965150194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292965536768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292965544328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292966584319
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1292966604221
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1292966608507
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1292966608525
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292966632202
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966637951
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966638018
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966640774
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966641943
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966642962
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966642962
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1292966646459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292966653796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292966656835
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1292966664454
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292966668374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292966691658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292966691846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967009758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967009932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292967016721
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1292967019743
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1292967019954
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1292967020041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967020326
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967024019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967028924
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967030331
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1292967030687
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1292967033602
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1292967037666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967040625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967041741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967047175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967048287
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967179039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967179201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292967196177
